Team,Player,Assister,Make,AvgPoints,Age,AvgBLK,AvgSTL,AvgAST,Avg3points,alt
MIN,Gorgui Dieng,Josh Okogie,6,7.05,20,0.45,0.9,1.05,0.309,GorguiDieng
MIN,Gorgui Dieng,Tyus Jones,35,6.65,22,0.3,0.9,2.85,0.328,GorguiDieng
MIN,Taj Gibson,Tyus Jones,20,8.85,22,0.35,1,3,0.3205,TajGibson
MIN,Anthony Tolliver,Tyus Jones,28,5.95,22,0.2,0.75,2.75,0.347,AnthonyTolliver
MIN,Andrew Wiggins,Tyus Jones,30,12.5,22,0.4,1.1,3.65,0.328,AndrewWiggins
MIN,Andrew Wiggins,Josh Okogie,6,12.9,20,0.55,1.1,1.85,0.309,AndrewWiggins
MIN,Tyus Jones,Karl-Anthony Towns,7,15.65,23,0.85,1.05,4.1,0.3585,TyusJones
MIN,Tyus Jones,Robert Covington,3,10.7,28,0.6,1.75,3.15,0.3445,TyusJones
MIN,Andrew Wiggins,Taj Gibson,17,14.45,33,0.65,0.9,1.85,0.3315,AndrewWiggins
MIN,Andrew Wiggins,Anthony Tolliver,4,11.55,33,0.5,0.65,1.6,0.358,AndrewWiggins
MIN,Andrew Wiggins,Gorgui Dieng,20,12.25,29,0.6,0.8,1.7,0.339,AndrewWiggins
MIN,Jeff Teague,Josh Okogie,3,9.9,20,0.4,1.1,4.7,0.306,JeffTeague
MIN,Anthony Tolliver,Josh Okogie,5,6.35,20,0.35,0.75,0.95,0.328,AnthonyTolliver
MIN,Anthony Tolliver,Jared Terrell,3,3.6,23,0.2,0.25,0.8,0.306,AnthonyTolliver
MIN,Tyus Jones,Dario Šarić,4,8.7,24,0.1,0.9,3.15,0.35,TyusJones
MIN,Robert Covington,Derrick Rose,11,16.25,30,0.65,1.45,2.9,0.371,RobertCovington
MIN,Derrick Rose,Taj Gibson,13,14.4,33,0.4,0.7,2.75,0.347,DerrickRose
MIN,Robert Covington,Taj Gibson,7,12.65,33,0.85,1.55,1.35,0.348,RobertCovington
MIN,Dario Šarić,Jerryd Bayless,12,8.3,30,0.1,0.55,2.5,0.3395,DarioŠarić
MIN,Gorgui Dieng,Andrew Wiggins,14,12.25,23,0.6,0.8,1.7,0.339,GorguiDieng
MIN,Taj Gibson,Andrew Wiggins,20,14.45,23,0.65,0.9,1.85,0.3315,TajGibson
MIN,Taj Gibson,Derrick Rose,32,14.4,30,0.4,0.7,2.75,0.347,TajGibson
MIN,Dario Šarić,Robert Covington,5,11.95,28,0.7,1.35,1.45,0.3715,DarioŠarić
MIN,Dario Šarić,Robert Covington,5,11.2,28,1,1.05,1.55,0.345,DarioŠarić
MIN,Dario Šarić,Robert Covington,5,12.5,28,0.6,1.45,1.5,0.3775,DarioŠarić
MIN,Karl-Anthony Towns,Josh Okogie,27,16.05,20,1,1.05,2.3,0.3395,Karl-AnthonyTowns
MIN,Taj Gibson,Robert Covington,3,12.65,28,0.85,1.55,1.35,0.348,TajGibson
MIN,Andrew Wiggins,Jerryd Bayless,13,12.1,30,0.4,0.75,3,0.3175,AndrewWiggins
MIN,Jimmy Butler,Anthony Tolliver,2,13.15,33,0.65,1.35,2.5,0.3775,JimmyButler
MIN,Karl-Anthony Towns,Jimmy Butler,8,22.85,29,1.3,1.65,3.85,0.389,Karl-AnthonyTowns
MIN,Andrew Wiggins,Jimmy Butler,4,19.7,29,0.85,1.7,3.4,0.3585,AndrewWiggins
MIN,Josh Okogie,Jimmy Butler,5,14.5,29,0.7,1.8,2.75,0.3285,JoshOkogie
MIN,Josh Okogie,Jeff Teague,19,9.9,30,0.4,1.1,4.7,0.306,JoshOkogie
MIN,Taj Gibson,Jimmy Butler,10,16.05,29,0.8,1.6,2.75,0.351,TajGibson
MIN,Jimmy Butler,Karl-Anthony Towns,4,22.85,23,1.3,1.65,3.85,0.389,JimmyButler
MIN,Anthony Tolliver,Jeff Teague,8,8.55,30,0.35,0.65,4.45,0.355,AnthonyTolliver
MIN,Jeff Teague,Tyus Jones,1,9.5,22,0.25,1.1,6.5,0.325,JeffTeague
MIN,Josh Okogie,Anthony Tolliver,4,6.35,33,0.35,0.75,0.95,0.328,JoshOkogie
MIN,Keita Bates-Diop,C.J. Williams,2,3.8,28,0.25,0.5,0.7,0.2815,KeitaBates-Diop
MIN,James Nunnally,C.J. Williams,1,2.35,28,0,0.25,0.6,0.349,JamesNunnally
